t,start,end,cause,vn,ws,ue,rain,blh_max,blh_before,rh,hour,south_before,south_after
2017-07-21 02:00:00,101.6,28.9,rain,0.90590332918611,3.9076923076923076,3.4000490401068837,32.4,785.0,604.2857142857143,88.92307692307692,2,63.367346938775505,46.42857142857143
2017-08-11 23:00:00,66.8,24.9,rain,-0.3837740492907067,3.4376923076923074,1.2969722563333927,38.0,855.0,1094.2857142857142,83.84615384615384,23,63.367346938775505,58.42857142857143
2017-08-13 20:00:00,61.8,21.0,rain,0.8615547435768612,2.433076923076923,1.3825060690846447,5.6000000000000005,940.0,614.2857142857143,84.76923076923077,20,52.775510204081634,41.857142857142854
2017-08-16 16:00:00,88.7,24.6,east wind (sea air),0.3569596097483841,3.0415384615384613,2.6876684371394464,2.2,680.0,211.42857142857142,83.3076923076923,16,52.40816326530612,65.0
2017-09-02 16:00:00,145.2,51.0,lid lifted (daytime mixing),-3.482496150941741,3.5915384615384616,-0.6537094388779925,0.0,1305.0,194.28571428571428,66.46153846153847,16,66.24489795918367,53.142857142857146
2017-09-05 11:00:00,81.1,20.4,lid lifted (daytime mixing),1.4499195107678842,2.566923076923077,-1.58026312959077,0.0,1830.0,80.71428571428571,57.30769230769231,11,55.44897959183674,76.85714285714286
2017-09-10 13:00:00,143.2,49.5,unclear,0.5819402352829038,1.6415384615384612,-0.3051078139525527,0.2,715.0,117.85714285714286,78.92307692307692,13,64.93877551020408,39.0
2017-09-14 15:00:00,127.1,41.8,lid lifted (daytime mixing),-3.9225152487113397,3.941538461538461,-0.06189833814204666,0.0,1605.0,96.42857142857143,50.30769230769231,15,65.6734693877551,38.57142857142857
2017-09-17 01:00:00,89.0,34.5,north wind,4.339084575797082,4.559230769230769,-0.2943489550108681,0.0,85.0,598.5714285714286,68.46153846153847,1,67.93877551020408,81.85714285714286
2017-09-26 09:00:00,116.0,39.8,north wind,5.462713885852348,5.960769230769231,0.7550248888133745,0.4,920.0,82.85714285714286,67.6923076923077,9,85.75510204081634,60.714285714285715
2017-10-01 10:00:00,152.9,54.9,north wind,4.928049038817491,5.093076923076923,0.9607144560204112,0.0,1230.0,69.28571428571429,45.92307692307692,10,71.83673469387756,49.857142857142854
2017-10-16 06:00:00,71.7,27.1,north wind,3.585189233344766,4.104615384615385,1.327227941778988,0.0,975.0,31.428571428571427,71.07692307692308,6,127.6938775510204,111.57142857142857
2017-10-21 21:00:00,92.0,36.4,light rain,-0.9928765509540123,2.1384615384615384,1.6066429253547339,1.9000000000000001,875.0,693.5714285714286,64.38461538461539,21,114.95918367346938,51.142857142857146
2017-10-28 08:00:00,114.5,38.4,north wind,6.5390217562681565,6.892307692307693,-1.7073668510545716,0.0,1390.0,26.428571428571427,64.0,8,181.8571428571429,87.85714285714286
2017-11-07 12:00:00,166.2,55.8,north wind,2.9683314468820017,4.281538461538462,-2.7556644835943733,0.0,2090.0,19.285714285714285,46.84615384615385,12,171.06122448979593,61.142857142857146
2017-11-10 02:00:00,82.4,16.2,north wind,4.653720975546546,6.5684615384615395,-4.285120603931899,0.0,1255.0,315.0,55.15384615384615,2,81.3265306122449,32.285714285714285
2017-11-13 10:00:00,72.2,23.7,north wind,4.141969054352477,5.976923076923077,-4.00112048429452,0.0,3165.0,20.0,43.53846153846154,10,98.69387755102039,31.142857142857142
2017-11-17 08:00:00,73.6,17.4,north wind,6.737170309106944,7.439999999999999,-2.890469013148574,0.0,1890.0,25.0,42.38461538461539,8,110.48979591836735,46.0
2017-11-21 21:00:00,165.4,33.8,north wind,2.986587614720009,6.706153846153845,-4.219707134984317,0.0,235.0,260.0,45.69230769230769,21,141.9591836734694,51.42857142857143
2017-11-28 11:00:00,88.4,19.5,north wind,5.668518523290169,6.564615384615384,-3.2502371394996166,0.0,1705.0,22.857142857142858,40.15384615384615,11,142.81632653061223,67.71428571428571
2017-12-03 07:00:00,200.5,67.8,north wind,4.614344118081802,4.9484615384615385,1.654590593642671,0.0,1475.0,20.0,47.07692307692308,7,271.42857142857144,181.71428571428572
2017-12-10 02:00:00,62.7,9.7,north wind,4.081142581308326,6.295384615384616,-4.548523018846584,0.0,240.0,152.85714285714286,34.76923076923077,2,,52.57142857142857
2017-12-15 08:00:00,109.3,39.2,north wind,4.116749226779006,4.629999999999999,-1.8805588439756227,0.0,1545.0,31.428571428571427,50.61538461538461,8,135.9387755102041,132.14285714285714
2017-12-20 05:00:00,67.8,26.3,weak north wind,2.1066137339021065,3.823076923076923,-3.092169537681909,0.0,1275.0,99.28571428571429,46.46153846153846,5,68.59183673469389,37.57142857142857
